Card #,Name,Rage,Card Description,Card Type,# of players,,
0,Valkyrie,2,Gain 2 glory per enemy figure destroyed in battle with this monster.,Monster,-,2,Base game
1,Dark Elf,1*,This monster may invade Yggdrasil. *Has 3 STR in Yggdrasil,Monster,-,2,Base game
2,Wolfman,3,Only monsters count their STR in a battle with this monster.,Monster,-,2,Kickstarter Exclusive
3,Nidhoggr,2,"After you win a battle with this monster, gain 1 glory for each figure the losers have in Valhalla",Monster,-,2,Kickstarter Exclusive
4,Lord of Axes,3,"If you successfully pillage with your leader, raise one of your clan stats by 1.",Leader,-,2,Base game
5,Experts in Arms,2,Your warriors are now 2 STR.,Warrior,-,2,Base game
6,Fire Dragons,2,Gain 8 glory when a ship of yours is destroyed.,Ship,-,2,Base game
7,Odin's Inspiration,2,Double your glory award from dying during Ragnarok.,Clan,-,2,Base game
8,Tyr's Challenge,0,"As your action, you may pay 2 rage to ""repillage"" an already pillaged province.",Clan,-,2,Base game
9,Frigga's Protection,0,You may pay 1 rage to prevent a figure of yours from being destroyed.,Clan,-,2,Base game
10,Alfheim,7,"Have the most STR in at least one Alfheim (gray) province. If completed, raise one of your clan stats by 1.",Quest,-,2,Base game
11,Jotunheim,7,"Have the most STR in at least one Jotunheim (blue) province. If completed, raise one of your clan stats by 1.",Quest,-,2,Base game
12,Manheim,7,"Have the most STR in at least one Manheim (yellow) province. If completed, raise one of your clan stats by 1.",Quest,-,2,Base game
13,Glorious Death,8,"Have at least 4 figures in Valhalla (before Ragnarok). If completed, raise one of your clan stats by 1.",Quest,-,2,Base game
14,Tyr's Crush,+4,-,Battle,-,2,Base game
15,Heimdall's Eye,+2,You may play this card (and add its STR) after all players' battle cards are revealed.,Battle,-,2,Base game
16,Odin's Tide,+1,"Before comparing STR, each player chooses and destroys all but one of his figures in this battle.",Battle,-,2,Base game
17,Loki's Backstab,+0,"If you lose, steal 2 glory from the winning player.",Battle,-,2,Base game
18,Tyr's Rage,+6,-,Battle,-,2,Base game
19,Heimdall's Watch,+0,Discard all revealed cards. Gain glory equal to the total +STR revealed. Then play new cards.,Battle,-,2,Base game
20,Heimdall's Eye,+2,You may play this card (and add its STR) after all players' battle cards are revealed.,Battle,-,2,Base game
21,Thor's Oath,+1,"If you win, raise one of your clan stats by 1.",Battle,-,2,Base game
22,Fire Giant,4,"When this monster invades a province, destroy all enemy non-Monster figures in it.",Monster,3+,2,Base game
23,Loki's Eminence,2,Gain 2 glory for each figure you release from Valhalla.,Clan,3+,2,Base game
24,Tyr's Prowess,2,"If you win a battle, you may keep any of your revealed cards, payign 1 rage each.",Clan,3+,2,Base game
25,Yggdrasil,8,"Have the most STR in Yggdrasil. If completed, raise one of your clan stats by 1.",Quest,3+,2,Base game
26,Tyr's Smite,+5,-,Battle,3+,2,Base game
27,Heimdall's Eye,+2,You may play this card (and add its STR) after all players' battle cards are revealed.,Battle,3+,2,Base game
28,Thor's Domain,1,"After you invade a province, you may pay 2 rage to immediately try to pillage it.",Clan,4+,2,Base game
29,Alfheim,7,"Have the most STR in at least one Alfheim (gray) province. If completed, raise one of your clan stats by 1.",Quest,4+,2,Base game
30,Jotunheim,7,"Have the most STR in at least one Jotunheim (blue) province. If completed, raise one of your clan stats by 1.",Quest,4+,2,Base game
31,Manheim,7,"Have the most STR in at least one Manheim (yellow) province. If completed, raise one of your clan stats by 1.",Quest,4+,2,Base game
32,Glorious Death,8,"Have at least 4 figures in Valhalla (before Ragnarok). If completed, raise one of your clan stats by 1.",Quest,4+,2,Base game
33,Odin's Tide,+1,"Before comparing STR, each player chooses and destroys all but one of his figures in this battle.",Battle,4+,2,Base game
34,Loki's Backstab,+0,"If you lose, steal 2 glory from the winning player.",Battle,4+,2,Base game
35,Tyr's Smash,+3,-,Battle,4+,2,Base game
36,Lord of Axes,3,"If you successfully pillage with your leader, raise one of your clan stats by 1.",Leader,5+,2,5th Player Expansion
37,Experts in Arms,2,Your warriors are now 2 STR.,Warrior,5+,2,5th Player Expansion
38,Fire Dragons,2,Gain 8 glory when a ship of yours is destroyed.,Ship,5+,2,5th Player Expansion
39,Widespread,10,"Have the most STR in at least 2 different provinces. If completed, raise one of your clan stats by 1.",Quest,5+,2,5th Player Expansion
40,Glorious Death,8,"Have at least 4 figures in Valhalla (before Ragnarok). If completed, raise one of your clan stats by 1.",Quest,5+,2,5th Player Expansion
41,Tyr's Smash,+3,-,Battle,5+,2,5th Player Expansion
42,Heimdall's Eye,+2,You may play this card (and add its STR) after all players' battle cards are revealed.,Battle,5+,2,5th Player Expansion
43,Thor's Oath,+1,"If you win, raise one of your clan stats by 1.",Battle,5+,2,5th Player Expansion
